age,income,credit_history_years,existing_loans,employment_type,loan_amount,loan_term_months,debt_to_income_ratio,credit_score,loan_approved
52,96163,36,1,Self-employed,74052,12,1.910591717185432,460,0
48,24938,34,2,Full-time,14417,48,0.35427825030825,705,1
30,87071,10,4,Unemployed,94083,36,0.41794720465943314,463,0
28,59048,16,1,Full-time,63109,48,0.32310217778259753,587,1
49,88138,17,2,Full-time,34358,36,0.01794589970553293,532,1
21,25323,12,5,Full-time,109154,48,0.4914710370521638,434,1
47,41419,15,1,Full-time,109154,24,0.01794589970553293,480,1
33,65162,34,1,Full-time,92815,24,0.7538801369886556,425,0
44,20000,2,2,Self-employed,60275,36,1.1497364532878243,425,0
42,20000,19,2,Full-time,75491,48,1.9480165893502663,425,0
45,68557,28,1,Full-time,101742,36,0.01794589970553293,813,1
38,31063,25,2,Self-employed,74535,36,1.9072442206800844,425,0
32,114017,32,2,Full-time,46648,60,0.3321424606673519,502,1
27,90032,33,1,Full-time,5000,36,1.7383784791398613,438,0
48,72986,1,6,Full-time,97510,36,1.4335572111339978,576,1
38,27603,3,2,Full-time,40571,24,0.8032958638881448,773,1
44,26407,18,4,Full-time,79981,48,0.01794589970553293,850,1
39,227096,24,2,Part-time,52126,36,1.027187650308743,425,1
40,232387,16,3,Full-time,45053,48,0.05261602411069377,616,1
58,20000,0,0,Full-time,55453,48,2.0,460,0
80,20000,42,2,Full-time,59174,48,0.3585635728008466,579,0
36,88029,18,1,Unemployed,94954,36,0.01794589970553293,749,1
30,232387,12,0,Full-time,16995,36,1.3600421083632375,808,1
39,204572,25,5,Part-time,86161,12,0.8612692496746519,438,1
29,81701,11,6,Full-time,39376,48,0.01794589970553293,850,1
39,32708,9,4,Full-time,55365,48,0.8799952485574958,425,0
36,232387,20,4,Full-time,18524,48,0.01794589970553293,840,1
24,83709,28,4,Full-time,109154,36,0.8834981069271304,730,1
18,147399,24,5,Full-time,33249,48,0.1445081704846872,692,1
38,208644,12,3,Self-employed,109154,48,1.1587126077912144,448,0
44,33610,27,3,Full-time,100324,48,1.3630998661838403,425,0
45,69660,21,1,Full-time,31784,24,0.01794589970553293,583,1
39,78123,22,1,Unemployed,109154,36,0.6573457855647998,503,1
36,39766,37,2,Full-time,37584,24,0.3107701768407614,491,1
28,43585,2,1,Unemployed,109154,48,0.11411270908857366,742,0
19,29004,29,3,Self-employed,50331,36,0.39484763215591734,464,1
27,36224,26,0,Part-time,35796,24,2.0,425,1
27,24457,35,4,Part-time,95546,36,1.893814675833867,537,1
28,216399,14,2,Full-time,39021,48,0.01794589970553293,787,1
55,188539,7,3,Full-time,98893,36,1.3802451957566855,524,0
34,40956,23,4,Full-time,50792,36,0.01794589970553293,546,1
37,63291,42,3,Self-employed,37283,24,1.7306242455594263,446,0
47,50457,28,1,Self-employed,103047,24,0.993415708598724,618,1
66,32368,21,1,Full-time,109154,24,1.8887798743396194,772,1
67,88209,41,1,Full-time,54694,36,0.01794589970553293,850,1
57,219357,22,2,Full-time,78539,60,0.17516627072240712,832,1
19,30971,3,1,Part-time,49874,24,0.40406554065340594,503,1
22,42458,15,3,Part-time,109154,48,2.0,449,1
42,232387,14,2,Full-time,36276,36,0.17829777395808707,849,1
18,81322,20,0,Part-time,13586,48,0.01794589970553293,479,1
30,141104,12,4,Full-time,109154,36,1.5196620647976251,744,1
25,20000,47,4,Unemployed,109154,36,0.03742798205745723,834,1
