age,income,credit_history_years,existing_loans,employment_type,loan_amount,loan_term_months,debt_to_income_ratio,credit_score,loan_approved
33,232387,9,3,Full-time,35182,36,0.019588605926289304,571,0
64,147329,26,4,Full-time,6413,48,0.6755379600392561,744,1
26,20000,22,2,Self-employed,52562,48,1.9516852030896987,425,0
33,77195,31,1,Part-time,5000,48,0.4882465905612747,610,0
39,232387,23,1,Full-time,8127,36,0.01794589970553293,850,1
40,36119,26,3,Full-time,48136,36,0.01794589970553293,765,1
49,23487,35,1,Full-time,32029,36,0.01794589970553293,839,0
36,20000,16,3,Self-employed,54768,48,0.684526096777556,736,0
36,20000,22,4,Full-time,71715,60,0.8173106226444811,425,0
69,201347,39,3,Part-time,5222,36,0.45153616189961826,836,0
49,89905,16,3,Unemployed,5000,24,0.01794589970553293,790,1
47,232387,35,4,Full-time,76749,36,0.183387192746642,680,0
62,232387,30,2,Full-time,28964,36,0.24798253518685265,740,0
52,56903,18,3,Full-time,5000,36,0.01794589970553293,636,0
18,114542,31,3,Unemployed,12339,24,0.9482469336556548,797,0
18,41427,34,1,Full-time,27699,48,0.2863223482574645,645,0
46,20000,22,1,Unemployed,109154,36,0.3396701907380104,516,0
48,52754,34,4,Full-time,62088,12,0.18058665396091883,554,0
33,21049,17,2,Self-employed,109154,36,1.1046830618111094,433,0
43,81283,47,1,Full-time,5000,36,0.01794589970553293,850,1
34,20000,24,3,Part-time,38751,24,1.8689107789464492,425,0
44,20000,23,3,Part-time,53131,36,1.6516669583593935,742,0
30,138623,0,1,Full-time,5000,48,0.01794589970553293,850,1
42,205714,13,3,Full-time,109154,36,0.229904057597116,461,1
58,20000,33,4,Full-time,60453,12,0.11470445815492608,702,0
40,83201,8,2,Part-time,60775,48,0.01794589970553293,425,0
44,47864,24,4,Part-time,46299,36,0.22217672423079082,850,1
28,92513,9,1,Part-time,48763,36,0.01794589970553293,425,0
42,232387,31,4,Full-time,5000,36,0.01794589970553293,736,1
28,145121,12,2,Full-time,5000,48,0.01794589970553293,850,1
53,26934,50,2,Full-time,55500,24,0.6738202453732371,454,0
40,162894,19,2,Full-time,51146,36,2.0,754,0
38,77516,39,3,Part-time,67844,36,1.854105788914724,425,0
29,232387,24,5,Full-time,43811,36,1.7527146044759188,709,0
61,20000,11,3,Full-time,38788,36,2.0,545,0
71,210469,38,3,Full-time,7186,36,0.6232199611336683,450,0
19,20000,9,0,Full-time,100913,36,0.01794589970553293,469,0
43,40685,23,0,Full-time,5000,48,0.13859150042478047,771,1
27,230001,16,3,Full-time,56137,48,0.01794589970553293,468,1
46,54810,29,2,Full-time,103391,36,1.0513406276392332,425,0
30,38863,30,4,Part-time,50440,36,0.031169606353440404,452,0
28,78977,27,1,Full-time,81510,36,0.1078671282785138,562,1
