age,income,credit_history_years,existing_loans,employment_type,loan_amount,loan_term_months,debt_to_income_ratio,credit_score,loan_approved
9,32256,2,3,Full-time,51538,48,1.9129391720241993,595,0
54,24480,1,2,Part-time,68598,36,0.6710676545464831,576,1
42,63681,2,2,Full-time,90704,36,0.07064084894831356,375,1
20,73537,41,2,Full-time,82370,36,0.31597447519201705,508,0
31,59191,26,0,Full-time,46967,36,0.2663122571373046,628,0
22,70533,10,2,Full-time,90108,36,0.018505582834731193,810,0
8,111157,19,1,Unemployed,-12599,24,0.9713547497321905,608,1
16,80149,52,4,Unemployed,-2083,36,1.4163127752055842,473,1
75,194256,5,5,Part-time,100675,36,-0.042942640953376854,442,1
15,134906,34,0,Full-time,62853,36,0.3255070932380217,427,1
8,71774,11,2,Full-time,27492,36,1.2181064004818314,826,0
30,57445,-5,8,Full-time,78269,36,0.06241464844004177,523,1
23,27571,-4,6,Part-time,64197,24,1.0714930359196695,524,1
37,36657,12,2,Full-time,36753,24,0.6963116864070524,489,0
27,97357,30,2,Self-employed,12818,36,0.2629868788831121,699,0
40,33052,32,0,Full-time,29388,36,0.16589843129164153,369,0
24,98090,2,2,Full-time,23173,36,0.5839702860520004,581,1
40,201203,11,3,Full-time,84358,36,0.4053209776107155,349,0
10,36864,8,3,Self-employed,70918,36,1.272671096079902,538,1
52,103823,17,1,Part-time,68792,48,0.24916571643619945,420,0
22,30378,18,0,Full-time,71638,36,0.43956582902489744,511,1
40,65644,26,1,Self-employed,56433,24,1.0279343144184019,614,1
21,74815,15,0,Full-time,21551,60,1.6298225930813957,782,0
30,69466,-1,0,Full-time,52656,36,1.174771562734544,727,0
26,27146,22,2,Unemployed,69752,36,0.5582177955773492,674,1
36,40199,11,3,Full-time,84305,12,0.9184671777545371,742,0
30,35784,34,2,Full-time,90552,48,0.7026678926727536,557,1
21,64524,9,1,Full-time,51939,36,0.152529767567321,511,1
25,40792,2,1,Unemployed,83123,12,0.7040047356035596,686,0
43,24973,-7,3,Full-time,49874,36,0.2269060418270621,334,1
24,111010,25,2,Part-time,87931,12,0.714162682333018,585,0
19,66113,20,1,Self-employed,48649,48,0.30288868593961216,619,1
34,100089,7,0,Full-time,4425,24,0.5824110688010745,638,1
24,135931,3,1,Full-time,72131,24,1.1693549842538022,533,1
16,66482,12,1,Part-time,38411,36,0.9110062576269398,639,1
